player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1631114,Jalen Williams,1610612760,OKC,21,6-5,77,211,Santa Clara,USA,2022,1,12,72,1016,329,239,-1,0.035,0.111,0.18,0.605,0.153
1631288,Jamal Cain,1610612748,MIA,24,6-6,78,191,Oakland,USA,Undrafted,Undrafted,Undrafted,15,66,39,9,-0.2,0.064,0.136,0.136,0.579,0.08
1627750,Jamal Murray,1610612743,DEN,26,6-4,76,215,Kentucky,Canada,2016,1,7,62,1250,250,383,6.4,0.024,0.101,0.257,0.569,0.263
1631123,Jamaree Bouyea,1610612764,WAS,23,6-2,74,180,San Francisco,USA,Undrafted,Undrafted,Undrafted,5,15,6,4,-13.2,0.016,0.086,0.12,0.504,0.091
1630547,James Bouknight,1610612766,CHA,22,6-4,76,190,Connecticut,USA,2021,1,11,30,144,64,37,-5.7,0.016,0.128,0.183,0.446,0.128
201935,James Harden,1610612755,PHI,33,6-5,77,220,Arizona State,USA,2009,1,3,55,1171,343,598,7.1,0.021,0.153,0.248,0.61,0.445
201949,James Johnson,1610612754,IND,36,6-7,79,240,Wake Forest,USA,2009,1,16,16,39,22,11,4.5,0.013,0.164,0.141,0.47,0.113
1630164,James Wiseman,1610612765,DET,22,7-0,84,240,Memphis,USA,2020,1,2,40,394,233,26,-15.5,0.084,0.23,0.21,0.598,0.056
1630215,Jared Butler,1610612760,OKC,22,6-3,75,193,Baylor,USA,2021,2,40,3,9,1,4,-23.3,0,0.031,0.169,0.563,0.235
1631197,Jared Rhoden,1610612765,DET,23,6-6,78,210,Seton Hall,USA,Undrafted,Undrafted,Undrafted,9,22,19,3,16.3,0.086,0.125,0.106,0.506,0.048
1628991,Jaren Jackson Jr.,1610612763,MEM,23,6-10,82,242,Michigan State,USA,2018,1,4,59,1049,398,52,10.1,0.056,0.161,0.236,0.605,0.045
1629020,Jarred Vanderbilt,1610612747,LAL,23,6-8,80,214,Kentucky,USA,2018,2,41,73,591,562,180,-2.1,0.092,0.221,0.138,0.604,0.139
1629714,Jarrell Brantley,1610612762,UTA,26,6-5,77,250,College of Charleston,USA,2019,2,50,4,22,6,3,16.2,0.02,0.093,0.172,0.739,0.125
1628386,Jarrett Allen,1610612739,CLE,24,6-9,81,243,Texas,USA,2017,1,22,65,938,646,109,7.5,0.106,0.212,0.162,0.672,0.073
1629633,Jarrett Culver,1610612737,ATL,24,6-6,78,195,Texas Tech,USA,2019,1,6,10,44,38,6,-5.7,0.065,0.219,0.164,0.452,0.055
1630554,Jason Preston,1610612746,LAC,23,6-3,75,181,Ohio,USA,2021,2,33,13,41,22,27,-0.9,0.014,0.179,0.168,0.489,0.314
1629750,Javonte Green,1610612741,CHI,29,6-5,77,205,Radford,USA,Undrafted,Undrafted,Undrafted,31,164,85,23,6.5,0.059,0.117,0.129,0.656,0.064
1629637,Jaxson Hayes,1610612740,NOP,22,7-0,84,220,Texas,USA,2019,1,8,46,233,131,34,-5.6,0.059,0.152,0.149,0.608,0.089
1630643,Jay Huff,1610612764,WAS,25,7-1,85,240,Virginia,USA,Undrafted,Undrafted,Undrafted,3,7,4,1,40.7,0,0.267,0.194,0.833,0.143
1627759,Jaylen Brown,1610612738,BOS,26,6-6,78,223,California,USA,2016,1,3,66,1759,448,227,5.4,0.033,0.15,0.306,0.585,0.162
1629669,Jaylen Nowell,1610612750,MIN,23,6-4,76,201,Washington,USA,2019,2,43,65,704,170,132,0,0.028,0.107,0.238,0.527,0.156
1631119,Jaylin Williams,1610612760,OKC,20,6-9,81,240,Arkansas,USA,2022,2,34,46,266,222,69,-4.4,0.041,0.23,0.133,0.552,0.107
1628369,Jayson Tatum,1610612738,BOS,25,6-8,80,210,Duke,USA,2017,1,3,72,2185,640,332,8.4,0.029,0.201,0.319,0.609,0.203
1630288,Jeff Dowtin Jr.,1610612761,TOR,25,6-3,75,177,Rhode Island,USA,Undrafted,Undrafted,Undrafted,23,60,23,26,0.6,0.024,0.073,0.112,0.508,0.143
201145,Jeff Green,1610612743,DEN,36,6-8,80,235,Georgetown,USA,2007,1,5,52,401,133,61,-9.1,0.035,0.096,0.166,0.575,0.091
203924,Jerami Grant,1610612757,POR,29,6-8,80,210,Syracuse,USA,2014,2,39,63,1290,283,150,-1.2,0.025,0.104,0.227,0.606,0.103
1630526,Jeremiah Robinson-Earl,1610612760,OKC,22,6-8,80,240,Villanova,USA,2021,2,32,41,282,172,40,-1.6,0.085,0.127,0.142,0.558,0.068
1631110,Jeremy Sochan,1610612759,SAS,19,6-8,80,230,Baylor,Poland,2022,1,9,56,614,295,142,-7,0.06,0.14,0.195,0.509,0.132
1630579,Jericho Sims,1610612752,NYK,24,6-10,82,250,Texas,USA,2021,2,58,50,172,232,24,-6.7,0.116,0.176,0.075,0.774,0.044
1628975,Jevon Carter,1610612749,MIL,27,6-1,73,200,West Virginia,USA,2018,2,32,77,620,193,180,2.3,0.019,0.084,0.149,0.56,0.144
202710,Jimmy Butler,1610612748,MIA,33,6-7,79,230,Marquette,USA,2011,1,30,62,1415,364,326,0.8,0.07,0.118,0.248,0.643,0.262
1629111,Jock Landale,1610612756,PHX,27,6-11,83,255,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,65,422,260,62,8.5,0.115,0.161,0.18,0.595,0.097
203925,Joe Harris,1610612751,BKN,31,6-6,78,220,Virginia,USA,2014,2,33,70,533,158,98,-1.4,0.016,0.088,0.139,0.619,0.091
204060,Joe Ingles,1610612749,MIL,35,6-9,81,220,None,Australia,Undrafted,Undrafted,Undrafted,42,288,122,134,2.7,0.013,0.105,0.122,0.604,0.177
1630580,Joe Wieskamp,1610612761,TOR,23,6-6,78,205,Iowa,USA,2021,2,41,5,9,2,1,-13.7,0,0.051,0.117,0.563,0.05
203954,Joel Embiid,1610612755,PHI,29,7-0,84,280,Kansas,Cameroon,2014,1,3,63,2082,642,261,9.2,0.058,0.242,0.37,0.653,0.231
